Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,63.2,"[[6.6736e+03 2.4600e+02]
 [5.2000e+00 2.4000e+00]]","[[27524.8   153.6]
 [    0.     30.4]]",0,34598,0,38,23184,22,11414,16
5,99.0,68.2,"[[3.6092e+03 8.4600e+01]
 [3.2000e+00 2.0000e+00]]","[[14734.4    40.8]
 [    0.     20.8]]",16129,18469,12,26,12371,20,6098,6
10,99.2,63.4,"[[3.0954e+03 8.4800e+01]
 [3.6000e+00 1.6000e+00]]","[[12690.8    30. ]
 [    0.     20.8]]",18697,15901,12,26,10656,15,5245,11
15,99.2,62.0,"[[2.7312e+03 6.9800e+01]
 [3.8000e+00 1.4000e+00]]","[[11184.2    19.8]
 [    0.     20.8]]",20593,14005,12,26,9385,15,4620,11
20,99.0,72.4,"[[2396.4   97.4]
 [   2.6    2.6]]","[[9949.8   25.4]
 [   0.    20.8]]",22129,12469,12,26,8352,19,4117,7
25,99.2,55.2,"[[2.2104e+03 8.1800e+01]
 [4.4000e+00 8.0000e-01]]","[[9150.4   18.4]
 [   0.    20.8]]",23137,11461,12,26,7676,20,3785,6
30,99.2,68.2,"[[2.0318e+03 8.3800e+01]
 [2.8000e+00 1.8000e+00]]","[[8449.6   12.8]
 [   0.    18.4]]",24020,10578,15,23,7084,18,3494,5
35,99.2,59.2,"[[1.8358e+03 4.9400e+01]
 [3.6000e+00 1.0000e+00]]","[[7531.     9.8]
 [   0.    18.4]]",25172,9426,15,23,6315,15,3111,8
40,99.2,66.4,"[[1573.    81.8]
 [   2.8    1.8]]","[[6611.     8.2]
 [   0.    18.4]]",26324,8274,15,23,5547,11,2727,12
45,99.8,55.2,"[[1.5292e+03 3.0200e+01]
 [3.8000e+00 6.0000e-01]]","[[6.2374e+03 2.0000e-01]
 [0.0000e+00 1.7600e+01]]",26801,7797,16,22,5225,13,2572,9
50,99.8,62.0,"[[1.3606e+03 4.5200e+01]
 [3.2000e+00 1.2000e+00]]","[[5.623e+03 2.000e-01]
 [0.000e+00 1.760e+01]]",27569,7029,16,22,4710,14,2319,8
55,100.0,64.8,"[[1245.6   30.6]
 [   3.     1.4]]","[[5104.8    0. ]
 [   0.    17.6]]",28217,6381,16,22,4273,17,2108,5
60,100.0,67.0,"[[1091.    41.2]
 [   2.8    1.6]]","[[4528.8    0. ]
 [   0.    17.6]]",28937,5661,16,22,3796,11,1865,11
65,99.8,48.6,"[[1016.6   15.2]
 [   4.     0. ]]","[[4.1268e+03 4.0000e-01]
 [0.0000e+00 1.6000e+01]]",29439,5159,18,20,3455,14,1704,6
70,100.0,51.8,"[[8.942e+02 8.000e+00]
 [3.800e+00 2.000e-01]]","[[3608.8    0. ]
 [   0.    16. ]]",30087,4511,18,20,3025,10,1486,10
75,100.0,51.8,"[[8.078e+02 8.000e+00]
 [3.800e+00 2.000e-01]]","[[3263.2    0. ]
 [   0.    16. ]]",30519,4079,18,20,2733,13,1346,7
80,100.0,53.0,"[[6.552e+02 2.260e+01]
 [2.800e+00 4.000e-01]]","[[2711.2    0. ]
 [   0.    12.8]]",31209,3389,22,16,2269,12,1120,4
85,100.0,55.0,"[[5.73e+02 0.00e+00]
 [2.40e+00 2.00e-01]]","[[2292.     0. ]
 [   0.    10.4]]",31733,2865,25,13,1919,9,946,4
90,100.0,84.4,"[[4.228e+02 2.800e+00]
 [4.000e-01 8.000e-01]]","[[1702.4    0. ]
 [   0.     4.8]]",32470,2128,32,6,1424,5,704,1
95,100.0,90.8,"[[2.678e+02 2.340e+01]
 [2.000e-01 1.000e+00]]","[[1164.8    0. ]
 [   0.     4.8]]",33142,1456,32,6,975,4,481,2
