Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,49.2,"[[6.8912e+03 2.8400e+01]
 [3.8000e+00 0.0000e+00]]","[[2.76784e+04 0.00000e+00]
 [0.00000e+00 1.52000e+01]]",0,34598,0,19,23180,13,11418,6
5,100.0,60.8,"[[3.6606e+03 3.3200e+01]
 [2.2000e+00 6.0000e-01]]","[[1.47752e+04 0.00000e+00]
 [0.00000e+00 1.12000e+01]]",16129,18469,5,14,12375,8,6094,6
10,100.0,58.8,"[[3.1292e+03 5.1000e+01]
 [2.2000e+00 6.0000e-01]]","[[1.27208e+04 0.00000e+00]
 [0.00000e+00 1.12000e+01]]",18697,15901,5,14,10653,10,5248,4
15,100.0,68.6,"[[2.7478e+03 5.3200e+01]
 [1.8000e+00 1.0000e+00]]","[[1.1204e+04 0.0000e+00]
 [0.0000e+00 1.1200e+01]]",20593,14005,5,14,9382,10,4623,4
20,100.0,58.4,"[[2.4488e+03 4.5000e+01]
 [2.4000e+00 4.0000e-01]]","[[9975.2    0. ]
 [   0.    11.2]]",22129,12469,5,14,8354,9,4115,5
25,100.0,55.2,"[[2.2474e+03 4.4800e+01]
 [2.4000e+00 4.0000e-01]]","[[9168.8    0. ]
 [   0.    11.2]]",23137,11461,5,14,7678,10,3783,4
30,100.0,51.8,"[[2.0732e+03 4.2400e+01]
 [2.6000e+00 2.0000e-01]]","[[8462.4    0. ]
 [   0.    11.2]]",24020,10578,5,14,7086,10,3492,4
35,100.0,55.2,"[[1.8396e+03 4.5600e+01]
 [2.4000e+00 4.0000e-01]]","[[7540.8    0. ]
 [   0.    11.2]]",25172,9426,5,14,6314,10,3112,4
40,100.0,61.8,"[[1.6188e+03 3.6000e+01]
 [2.2000e+00 6.0000e-01]]","[[6619.2    0. ]
 [   0.    11.2]]",26324,8274,5,14,5541,11,2733,3
45,100.0,48.6,"[[1526.6   32.8]
 [   2.8    0. ]]","[[6237.6    0. ]
 [   0.    11.2]]",26801,7797,5,14,5225,8,2572,6
50,100.0,56.6,"[[1.3724e+03 3.3400e+01]
 [2.4000e+00 4.0000e-01]]","[[5623.2    0. ]
 [   0.    11.2]]",27569,7029,5,14,4712,6,2317,8
55,100.0,56.4,"[[1.244e+03 3.220e+01]
 [2.400e+00 4.000e-01]]","[[5104.8    0. ]
 [   0.    11.2]]",28217,6381,5,14,4275,9,2106,5
60,100.0,59.6,"[[1.0962e+03 3.6000e+01]
 [2.2000e+00 6.0000e-01]]","[[4528.8    0. ]
 [   0.    11.2]]",28937,5661,5,14,3793,9,1868,5
65,100.0,65.8,"[[1.0152e+03 1.6600e+01]
 [1.6000e+00 8.0000e-01]]","[[4127.2    0. ]
 [   0.     9.6]]",29439,5159,7,12,3456,8,1703,4
70,100.0,74.0,"[[829.6  72.6]
 [  1.2   1.2]]","[[3608.8    0. ]
 [   0.     9.6]]",30087,4511,7,12,3021,9,1490,3
75,100.0,58.6,"[[7.99e+02 1.68e+01]
 [2.00e+00 4.00e-01]]","[[3263.2    0. ]
 [   0.     9.6]]",30519,4079,7,12,2732,8,1347,4
80,100.0,75.2,"[[663.   14.8]
 [  1.    1.2]]","[[2711.2    0. ]
 [   0.     8.8]]",31209,3389,8,11,2270,8,1119,3
85,100.0,84.2,"[[565.8   7.2]
 [  0.6   1.2]]","[[2292.     0. ]
 [   0.     7.2]]",31733,2865,10,9,1919,6,946,3
90,71.42857142857143,36.2,"[[170.    0. ]
 [  0.4   0. ]]","[[681.2   0. ]
 [  0.    0.8]]",32470,2128,16,3,1425,2,703,1
95,71.28571428571429,49.8,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33142,1456,16,3,975,2,481,1
