Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,54.4,"[[6.9028e+03 1.6800e+01]
 [2.2000e+00 2.0000e-01]]","[[2.76784e+04 0.00000e+00]
 [0.00000e+00 9.60000e+00]]",0,34598,0,12,23181,7,11417,5
5,100.0,74.4,"[[3.673e+03 2.080e+01]
 [1.000e+00 1.000e+00]]","[[1.47752e+04 0.00000e+00]
 [0.00000e+00 8.00000e+00]]",16129,18469,2,10,12376,4,6093,6
10,100.0,74.2,"[[3.15e+03 3.02e+01]
 [1.00e+00 1.00e+00]]","[[1.27208e+04 0.00000e+00]
 [0.00000e+00 8.00000e+00]]",18697,15901,2,10,10654,6,5247,4
15,100.0,74.0,"[[2.7686e+03 3.2400e+01]
 [1.0000e+00 1.0000e+00]]","[[1.1204e+04 0.0000e+00]
 [0.0000e+00 8.0000e+00]]",20593,14005,2,10,9384,6,4621,4
20,100.0,74.0,"[[2.458e+03 3.580e+01]
 [1.000e+00 1.000e+00]]","[[9.9752e+03 0.0000e+00]
 [0.0000e+00 8.0000e+00]]",22129,12469,2,10,8352,8,4117,2
25,100.0,73.8,"[[2.2558e+03 3.6400e+01]
 [1.0000e+00 1.0000e+00]]","[[9.1688e+03 0.0000e+00]
 [0.0000e+00 8.0000e+00]]",23137,11461,2,10,7676,9,3785,1
30,100.0,73.6,"[[2.0772e+03 3.8400e+01]
 [1.0000e+00 1.0000e+00]]","[[8.4624e+03 0.0000e+00]
 [0.0000e+00 8.0000e+00]]",24020,10578,2,10,7085,8,3493,2
35,100.0,73.6,"[[1.8478e+03 3.7400e+01]
 [1.0000e+00 1.0000e+00]]","[[7540.8    0. ]
 [   0.     8. ]]",25172,9426,2,10,6318,4,3108,6
40,100.0,73.4,"[[1.6158e+03 3.9000e+01]
 [1.0000e+00 1.0000e+00]]","[[6619.2    0. ]
 [   0.     8. ]]",26324,8274,2,10,5544,6,2730,4
45,100.0,73.8,"[[1.5272e+03 3.2200e+01]
 [1.0000e+00 1.0000e+00]]","[[6237.6    0. ]
 [   0.     8. ]]",26801,7797,2,10,5226,4,2571,6
50,100.0,78.8,"[[1.3826e+03 2.3200e+01]
 [8.0000e-01 1.2000e+00]]","[[5623.2    0. ]
 [   0.     8. ]]",27569,7029,2,10,4707,9,2322,1
55,100.0,78.2,"[[1.2412e+03 3.5000e+01]
 [8.0000e-01 1.2000e+00]]","[[5104.8    0. ]
 [   0.     8. ]]",28217,6381,2,10,4275,6,2106,4
60,100.0,78.0,"[[1.097e+03 3.520e+01]
 [8.000e-01 1.200e+00]]","[[4528.8    0. ]
 [   0.     8. ]]",28937,5661,2,10,3791,8,1870,2
65,100.0,83.2,"[[1.0054e+03 2.6400e+01]
 [6.0000e-01 1.2000e+00]]","[[4127.2    0. ]
 [   0.     7.2]]",29439,5159,3,9,3455,7,1704,2
70,100.0,68.0,"[[8.682e+02 3.400e+01]
 [1.000e+00 8.000e-01]]","[[3608.8    0. ]
 [   0.     7.2]]",30087,4511,3,9,3021,7,1490,2
75,100.0,78.0,"[[789.4  26.4]
 [  0.8   1. ]]","[[3263.2    0. ]
 [   0.     7.2]]",30519,4079,3,9,2730,8,1349,1
80,100.0,76.8,"[[642.4  35.4]
 [  0.8   1. ]]","[[2711.2    0. ]
 [   0.     7.2]]",31209,3389,3,9,2269,7,1120,2
85,100.0,89.0,"[[5.636e+02 9.400e+00]
 [4.000e-01 1.000e+00]]","[[2292.     0. ]
 [   0.     5.6]]",31733,2865,5,7,1918,6,947,1
90,44.44444444444444,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32470,2128,11,1,1425,1,703,0
95,44.44444444444444,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33142,1456,11,1,976,0,480,1
