Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,61.0,"[[6.774e+03 1.444e+02]
 [6.000e+00 2.000e+00]]","[[27561.2   112.4]
 [    0.     32. ]]",0,34592,0,40,23180,23,11412,17
5,99.0,60.6,"[[3.5856e+03 1.0260e+02]
 [6.0000e+00 2.0000e+00]]","[[14662.     90.8]
 [    0.     32. ]]",16151,18441,0,40,12355,27,6086,13
10,99.0,56.6,"[[3.0912e+03 8.4400e+01]
 [6.0000e+00 1.2000e+00]]","[[12647.6    54.8]
 [    0.     28.8]]",18714,15878,4,36,10635,27,5243,9
15,99.0,60.6,"[[2.71e+03 8.64e+01]
 [5.40e+00 1.80e+00]]","[[11134.6    51. ]
 [    0.     28.8]]",20610,13982,4,36,9374,18,4608,18
20,99.0,55.6,"[[2.404e+03 8.520e+01]
 [6.000e+00 1.200e+00]]","[[9908.6   48.2]
 [   0.    28.8]]",22146,12446,4,36,8343,19,4103,17
25,99.0,59.8,"[[2.0988e+03 1.8920e+02]
 [5.0000e+00 2.0000e+00]]","[[9119.6   32.4]
 [   0.    28. ]]",23152,11440,5,35,7668,20,3772,15
30,99.0,54.4,"[[1.951e+03 1.594e+02]
 [5.800e+00 1.200e+00]]","[[8410.4   31.2]
 [   0.    28. ]]",24040,10552,5,35,7069,24,3483,11
35,99.0,60.6,"[[1740.   140.4]
 [   4.8    2. ]]","[[7492.8   28.8]
 [   0.    27.2]]",25190,9402,6,34,6305,17,3097,17
40,99.0,70.8,"[[1517.4  133.6]
 [   3.     3. ]]","[[6577.6   26.4]
 [   0.    24. ]]",26337,8255,10,30,5530,20,2725,10
45,99.0,64.2,"[[1457.    98.4]
 [   3.6    2. ]]","[[6210.8   10.8]
 [   0.    22.4]]",26815,7777,12,28,5209,20,2568,8
50,99.0,67.2,"[[1350.2   51.6]
 [   3.4    2.2]]","[[5593.2   14. ]
 [   0.    22.4]]",27583,7009,12,28,4697,17,2312,11
55,99.0,64.6,"[[1164.6  107.8]
 [   3.4    2.2]]","[[5081.     8.6]
 [   0.    22.4]]",28230,6362,12,28,4263,18,2099,10
60,99.2,71.0,"[[1021.   107.8]
 [   2.6    3. ]]","[[4502.4   12.8]
 [   0.    22.4]]",28948,5644,12,28,3786,14,1858,14
65,99.2,65.2,"[[927.2 100.8]
 [  3.4   2.2]]","[[4103.6    8.4]
 [   0.    22.4]]",29452,5140,12,28,3446,16,1694,12
70,99.0,57.4,"[[827.2  71.4]
 [  4.2   1.2]]","[[3588.8    5.6]
 [   0.    21.6]]",30099,4493,13,27,3008,20,1485,7
75,99.4,66.4,"[[738.6  73.6]
 [  3.2   2.2]]","[[3244.8    4. ]
 [   0.    21.6]]",30531,4061,13,27,2722,16,1339,11
80,99.8,75.4,"[[623.6  51.4]
 [  1.8   2.6]]","[[2.6998e+03 2.0000e-01]
 [0.0000e+00 1.7600e+01]]",31217,3375,18,22,2259,16,1116,6
85,100.0,59.8,"[[523.6  46. ]
 [  3.2   1.2]]","[[2278.4    0. ]
 [   0.    17.6]]",31744,2848,18,22,1907,15,941,7
90,100.0,79.6,"[[408.2  15.4]
 [  1.    1.4]]","[[1694.4    0. ]
 [   0.     9.6]]",32474,2118,28,12,1421,6,697,6
95,100.0,86.0,"[[277.6  12. ]
 [  0.6   1.6]]","[[1158.4    0. ]
 [   0.     8.8]]",33144,1448,29,11,967,10,481,1
